created_at,text
2025-06-10 12:00:00,The new budget has mixed reactions from the public.
2025-06-10 12:01:00,Mental health awareness is growing and it's great to see.
2025-06-10 12:02:00,Fuel prices are hitting record highs.
2025-06-10 12:03:00,The cricket match yesterday was thrilling!
2025-06-10 12:04:00,Elections 2025 are going to be intense.
2025-06-10 12:05:00,Traffic in Bangalore is getting worse every year.
2025-06-10 12:06:00,The cricket match yesterday was thrilling!
2025-06-10 12:07:00,SpaceX just launched another rocket successfully.
2025-06-10 12:08:00,Startup ecosystem in India is booming.
2025-06-10 12:09:00,Elections 2025 are going to be intense.
2025-06-10 12:10:00,Elections 2025 are going to be intense.
2025-06-10 12:11:00,Apple's new iPhone is revolutionary!
2025-06-10 12:12:00,Apple's new iPhone is revolutionary!
2025-06-10 12:13:00,The new education policy needs more work.
2025-06-10 12:14:00,The new budget has mixed reactions from the public.
2025-06-10 12:15:00,Apple's new iPhone is revolutionary!
2025-06-10 12:16:00,Startup ecosystem in India is booming.
2025-06-10 12:17:00,The new education policy needs more work.
2025-06-10 12:18:00,Apple's new iPhone is revolutionary!
2025-06-10 12:19:00,The new budget has mixed reactions from the public.
2025-06-10 12:20:00,Apple's new iPhone is revolutionary!
2025-06-10 12:21:00,The cricket match yesterday was thrilling!
2025-06-10 12:22:00,The new education policy needs more work.
2025-06-10 12:23:00,Fuel prices are hitting record highs.
2025-06-10 12:24:00,Apple's new iPhone is revolutionary!
2025-06-10 12:25:00,Apple's new iPhone is revolutionary!
2025-06-10 12:26:00,The new budget has mixed reactions from the public.
2025-06-10 12:27:00,Traffic in Bangalore is getting worse every year.
2025-06-10 12:28:00,Elections 2025 are going to be intense.
2025-06-10 12:29:00,The new education policy needs more work.
2025-06-10 12:30:00,Elections 2025 are going to be intense.
2025-06-10 12:31:00,Startup ecosystem in India is booming.
2025-06-10 12:32:00,Startup ecosystem in India is booming.
2025-06-10 12:33:00,Elections 2025 are going to be intense.
2025-06-10 12:34:00,Traffic in Bangalore is getting worse every year.
2025-06-10 12:35:00,The cricket match yesterday was thrilling!
2025-06-10 12:36:00,The new education policy needs more work.
2025-06-10 12:37:00,The new education policy needs more work.
2025-06-10 12:38:00,Mental health awareness is growing and it's great to see.
2025-06-10 12:39:00,Elections 2025 are going to be intense.
2025-06-10 12:40:00,Mental health awareness is growing and it's great to see.
2025-06-10 12:41:00,Traffic in Bangalore is getting worse every year.
2025-06-10 12:42:00,Mental health awareness is growing and it's great to see.
2025-06-10 12:43:00,The cricket match yesterday was thrilling!
2025-06-10 12:44:00,The new budget has mixed reactions from the public.
2025-06-10 12:45:00,The cricket match yesterday was thrilling!
2025-06-10 12:46:00,Traffic in Bangalore is getting worse every year.
2025-06-10 12:47:00,The cricket match yesterday was thrilling!
2025-06-10 12:48:00,Apple's new iPhone is revolutionary!
2025-06-10 12:49:00,Traffic in Bangalore is getting worse every year.
